price_date,fund_code,unit_price,investor_count,total_fund_value
2026-04-28,AAK,35.458623,756,35245870.82
2026-04-28,AAL,3.176329,4831,3036348386.97
2026-04-28,AAS,11.392708,160,24353907.92
2026-04-28,AAV,62.686413,2294,303430759.61
2026-04-28,ABG,62.627039,159,7733921949.44
2026-04-28,ABJ,0.919611,3,1229834723.15
2026-04-28,ABU,0.093949,37,54500518.70
2026-04-28,AC1,2.862031,165,280661100.37
2026-04-28,AC2,3.588870,48,8895796859.15
2026-04-28,AC3,66.452376,14,138922811.04
2026-04-28,AC4,3.514002,3584,1571399361.63
2026-04-28,AC5,3.420361,180,52520939.76
2026-04-28,AC6,55.809544,111,77692298.87
2026-04-28,AC7,11.820239,45,6387479391.31
2026-04-28,AC8,198.561784,97,2450134664.28
2026-04-28,ACC,44.779645,1458,192323513.06
2026-04-28,ACD,5.564436,1566,320910269.88
2026-04-28,ACN,11.736135,15,614574829.61
2026-04-28,ACU,52.713215,160,1346592665.69
2026-04-28,ADE,0.868617,27065,1039678214.93
2026-04-28,ADP,1.345131,22516,4205874211.78
2026-04-28,AED,110.455981,813,42820944.99
2026-04-28,AES,0.170325,36102,1767200212.89
2026-04-28,AEV,1.944802,401,11121704.84
2026-04-28,AFA,1.099314,46035,5421100025.91
2026-04-28,AFO,1.346751,87354,23039013192.29
2026-04-28,AFS,0.300446,26891,762725508.34
2026-04-28,AFT,0.918900,143765,25567006822.62
2026-04-28,AFV,0.535226,15639,1176310324.25
2026-04-28,AGC,8.667415,2480,99135374.92
2026-04-28,AHH,9.590345,15,204951513.20
2026-04-28,AHI,37.728080,2666,146903409.77
2026-04-28,AHN,66.175035,101,28552476.04
2026-04-28,AHU,10.147412,604,214147404.42
2026-04-28,AHV,19.748066,153,117251692.00
2026-04-28,AHZ,26.972456,12,632150206.21
2026-04-28,AI1,1.109957,19,65396605.45
2026-04-28,AIH,18.215817,4,175668862.33
2026-04-28,AII,89.551908,3,366356856.46
2026-04-28,AIM,24.534199,1,53049979.39
2026-04-28,AIR,153.294171,1,1342509573.77
2026-04-28,AIS,0.095072,12657,13199895761.06
2026-04-28,AJ1,1.206537,104,31656009.95
2026-04-28,AJE,58.738624,1020,3657559314.65
2026-04-28,AJK,60.115737,131,135438650.47
2026-04-28,AJL,59.734690,1480,5381404903.61
2026-04-28,AJN,58.009759,355,562760040.49
2026-04-28,AK2,0.507194,9475,213613235.28
2026-04-28,AK3,53.539916,21248,8593473878.69
2026-04-28,AKE,0.491721,13912,1053334608.03
2026-04-28,AKU,0.960716,17232,1590463380.37
2026-04-28,AL4,3.540957,12,1127957767.18
2026-04-28,AL5,50.389327,2462,15024898407.82
2026-04-28,AL6,3.462463,12,4939525272.53
2026-04-28,AL7,3.346731,107,7743589004.35
2026-04-28,ALC,0.371059,26653,2050339854.37
2026-04-28,ALE,11.967514,134423,70549293256.04
2026-04-28,AN1,97.330623,2568,1046431524.90
2026-04-28,ANL,33.181549,4138,646532702.47
2026-04-28,ANZ,20.402733,182,267696858.63
2026-04-28,AOJ,1.552767,248,24562808.61
2026-04-28,AOY,0.366229,36474,1021370096.00
2026-04-28,AP2,3.665847,35,1052194441.17
2026-04-28,AP4,1.341349,11,334288658.52
2026-04-28,AP5,1.031100,12,1058518.94
2026-04-28,AP6,8.613523,46,1038780496.03
2026-04-28,AP7,2.323249,540,176822862.47
2026-04-28,APJ,6.974432,3175,102149001.01
2026-04-28,APP,32.341532,2,207487163.78
2026-04-28,APT,0.147934,13538,310914254.62
2026-04-28,ARE,0.221359,1668,36024648.84
2026-04-28,ARF,7.879026,1,711869181.67
2026-04-28,ARL,14.990960,7900,4232467243.00
2026-04-28,ARM,17.779346,5630,3354591466.94
2026-04-28,ARP,41.361275,1,3125423247.71
2026-04-28,AS1,44.811544,41,6549117.49
2026-04-28,AS3,0.741935,16,167564646.06
2026-04-28,ASJ,3.863802,850,73004395.38
2026-04-28,ATJ,22.284092,11,1066683812.94
2026-04-28,AU1,1.186801,621,58741851.50
2026-04-28,AUT,8.974343,152,2635800.36
2026-04-28,AUV,46.510588,619,774539757.92
2026-04-28,AVC,144.179461,11,243049804.65
2026-04-28,AVT,200.899350,19663,3433669239.39
2026-04-28,AVZ,96.306449,1,221742709.63
2026-04-28,AY6,1.311639,11,102651781.54
2026-04-28,AY7,1.485602,12,210560372.82
2026-04-28,AYA,19.232478,10401,1255831479.24
2026-04-28,AYR,0.124182,13185,1607482088.36
2026-04-28,AZF,0.163655,4,544178685.02
2026-04-28,AZJ,18.210651,40,660391139.19
2026-04-28,AZV,25.040293,4,4212949371.33
2026-04-28,AZZ,59.042960,7,27012626354.48
2026-04-28,BA1,1.402233,25,281339498.07
2026-04-28,BAC,7.154706,11,5399645239.24
2026-04-28,BAG,0.906983,66,49477742.99
2026-04-28,BAL,46.498225,1,1021765490.17
2026-04-28,BAO,3.331563,4,153319819.52
2026-04-28,BAS,50.248796,1,1437657454.66
2026-04-28,BBF,3.197400,1116,176014779.38
2026-04-28,BBI,1.620279,11,1101669.48
2026-04-28,BBN,0.657756,13,1513208870.54
2026-04-28,BBO,2.533599,12,839605563.08
