fund_code,price_date,unit_price,investor_count,total_fund_value
AAK,28.04.2026,"35,458,623",756,"35245870,82"
AAL,28.04.2026,"3,176,329",4831,"3036348386,97"
AAS,28.04.2026,"11,392,708",160,"24353907,92"
AAV,28.04.2026,"62,686,413",2294,"303430759,61"
ABG,28.04.2026,"62,627,039",159,"7733921949,44"
ABJ,28.04.2026,"919,611",3,"1229834723,15"
ABU,28.04.2026,"93,949",37,"54500518,70"
AC1,28.04.2026,"2,862,031",165,"280661100,37"
AC2,28.04.2026,"358,887",48,"8895796859,15"
AC3,28.04.2026,"66,452,376",14,"138922811,04"
AC4,28.04.2026,"3,514,002",3584,"1571399361,63"
AC5,28.04.2026,"3,420,361",180,"52520939,76"
AC6,28.04.2026,"55,809,544",111,"77692298,87"
AC7,28.04.2026,"11,820,239",45,"6387479391,31"
AC8,28.04.2026,"198,561,784",97,"2450134664,28"
ACC,28.04.2026,"44,779,645",1458,"192323513,06"
ACD,28.04.2026,"5,564,436",1566,"320910269,88"
ACN,28.04.2026,"11,736,135",15,"614574829,61"
ACU,28.04.2026,"52,713,215",160,"1346592665,69"
ADE,28.04.2026,"868,617",27065,"1039678214,93"
ADP,28.04.2026,"1,345,131",22516,"4205874211,78"
AED,28.04.2026,"110,455,981",813,"42820944,99"
AES,28.04.2026,"170,325",36102,"1767200212,89"
AEV,28.04.2026,"1,944,802",401,"11121704,84"
AFA,28.04.2026,"1,099,314",46035,"5421100025,91"
AFO,28.04.2026,"1,346,751",87354,"23039013192,29"
AFS,28.04.2026,"300,446",26891,"762725508,34"
AFT,28.04.2026,"9,189",143765,"25567006822,62"
AFV,28.04.2026,"535,226",15639,"1176310324,25"
AGC,28.04.2026,"8,667,415",2480,"99135374,92"
AHH,28.04.2026,"9,590,345",15,"204951513,20"
AHI,28.04.2026,"3,772,808",2666,"146903409,77"
AHN,28.04.2026,"66,175,035",101,"28552476,04"
AHU,28.04.2026,"10,147,412",604,"214147404,42"
AHV,28.04.2026,"19,748,066",153,"117251692,00"
AHZ,28.04.2026,"26,972,456",12,"632150206,21"
AI1,28.04.2026,"1,109,957",19,"65396605,45"
AIH,28.04.2026,"18,215,817",4,"175668862,33"
AII,28.04.2026,"89,551,908",3,"366356856,46"
AIM,28.04.2026,"24,534,199",1,"53049979,39"
AIR,28.04.2026,"153,294,171",1,"1342509573,77"
AIS,28.04.2026,"95,072",12657,"13199895761,06"
AJ1,28.04.2026,"1,206,537",104,"31656009,95"
AJE,28.04.2026,"58,738,624",1020,"3657559314,65"
AJK,28.04.2026,"60,115,737",131,"135438650,47"
AJL,28.04.2026,"5,973,469",1480,"5381404903,61"
AJN,28.04.2026,"58,009,759",355,"562760040,49"
AK2,28.04.2026,"507,194",9475,"213613235,28"
AK3,28.04.2026,"53,539,916",21248,"8593473878,69"
