price_date,fund_code,unit_price,investor_count,total_fund_value
2026-03-02,FSR,43.892991,2630,11157039556.04
2026-03-02,FSV,51.894452,880,5289601469.73
2026-03-02,FS1,1.607193,316,208782946.52
2026-03-02,FS2,1.698721,28,9359876.72
2026-03-02,FS3,1.599473,22,1559471821.29
2026-03-02,FS4,5.536749,21,2842438886.62
2026-03-02,FS5,2.425878,10,21478685.75
2026-03-02,FS6,1.565330,415,213859295.50
2026-03-02,FTM,50.566150,17,1916713144.51
2026-03-02,FUM,57.702858,2,414943096.93
2026-03-02,FUN,1.444971,12,17731318.89
2026-03-02,FUP,99.012973,2,434436448.81
2026-03-02,FVL,4.120368,56,1334895722.33
2026-03-02,FYA,0.050865,162,1686111688.05
2026-03-02,FYB,90.486030,9,184762972.53
2026-03-02,FYF,0.098581,11,34573242.26
2026-03-02,FYG,15.349920,2,88296975.04
2026-03-02,FYH,83.742849,29,995574763.23
2026-03-02,FYI,8.515201,246,63292730.96
2026-03-02,FYM,0.402998,15,315825875.63
2026-03-02,FYZ,5.968575,2,259135724.54
2026-03-02,FZP,5.732353,732,1171216196.67
2026-03-02,GAC,69.047524,1,381672412.80
2026-03-02,GAG,16.259175,211,835459410.18
2026-03-02,GAJ,57.638152,1,457362654.41
2026-03-02,GAN,8.721539,11,23487628.52
2026-03-02,GAS,0.288613,2539,3956270512.00
2026-03-02,GAU,59.580969,5,1929251310.27
2026-03-02,GAV,56.168885,1,221361577.37
2026-03-02,GBH,4.026045,2887,2250062462.38
2026-03-02,GBJ,1.727590,2363,774022718.15
2026-03-02,GBN,5.739191,426,5347467332.99
2026-03-02,GBP,66.053790,2,3622757758.41
2026-03-02,GCA,66.349326,2,768563853.62
2026-03-02,GCC,5.237926,2,1163135837.30
2026-03-02,GCD,1.715632,11,94390289.94
2026-03-02,GCI,58.532127,3,200524979.20
2026-03-02,GCZ,56.161187,1,10935425.48
2026-03-02,GDJ,55.475366,4,449429684.30
2026-03-02,GDP,60.478689,1,1405285833.51
2026-03-02,YVF,67.839081,4,884307583.69
2026-03-02,GEC,69.675228,3,390988394.00
2026-03-02,GEI,64.813003,11,2396005683.44
2026-03-02,GEZ,54.771127,1,364985372.94
2026-03-02,GFB,63.700569,4,396078419.20
2026-03-02,GFD,63.225006,2,116779493.91
2026-03-02,GFI,48.801523,3,1905961398.80
2026-03-02,GFL,9.446340,1,409715402.62
2026-03-02,GFN,72.970704,3,844521771.26
2026-03-02,GFY,63.023615,3,393499665.29
2026-03-02,AES,0.113400,28472,1540943259.00
2026-03-02,AHV,18.646255,161,121931685.27
2026-03-02,APJ,6.980674,3368,110971162.05
2026-03-02,ARL,14.674307,8331,4588209239.96
2026-03-02,ARM,17.707819,5997,3707698792.48
2026-03-02,BFE,1.716504,69,9332459.62
2026-03-02,BFS,1.061656,5,3460997.09
2026-03-02,BRF,1.434722,1213,132267373.88
2026-03-02,DHM,4.933809,1356,31270751.32
2026-03-02,DMG,8.638327,18011,4811106390.59
2026-03-02,DNF,1.165456,153,30833313.38
2026-03-02,DSP,13.182613,1234,240065750.83
2026-03-02,EPK,1.647781,2725,490491202.82
2026-03-02,EYT,2.715633,846,134065230.06
2026-03-02,FFP,7.312825,3231,3039773581.66
2026-03-02,FSU,1.233306,9320,1345788132.76
2026-03-02,FZJ,5.069516,2532,1335434765.76
2026-03-02,GBZ,3.138468,3669,1425788931.38
2026-03-02,GJB,9.811416,1194,86139975.47
2026-03-02,GLC,4.176134,82,16245386.73
2026-03-02,GMC,10.492741,27903,6510130445.95
2026-03-02,GMD,2.380077,116,3100286.34
2026-03-02,GNZ,1.362414,507,1776208.87
2026-03-02,GO1,4.118479,1398,288334052.75
2026-03-02,GO2,4.369012,649,39588824.30
2026-03-02,GO3,4.713404,720,62813620.38
2026-03-02,GO4,5.154654,1158,92410466.77
2026-03-02,GTZ,15.511711,77053,20969100917.65
2026-03-02,GUM,16.305712,63187,10862732312.06
2026-03-02,GVI,5.557842,6311,1715184161.14
2026-03-02,GZJ,8.226594,7330,2362276970.42
2026-03-02,GZP,6.859643,11076,5040630024.74
2026-03-02,GZV,7.694545,1429,95761333.23
2026-03-02,HBN,3.945109,1181,532132043.25
2026-03-02,HOY,0.320149,2736,1217091116.48
2026-03-02,IAM,1.652725,3384,99623168.89
2026-03-02,IJH,6.492233,511,55331584.59
2026-03-02,ILZ,7.490330,8192,1372468796.21
2026-03-02,IPG,9.058959,2123,549747776.21
2026-03-02,IRF,5.997983,1692,314006615.44
2026-03-02,IUH,4.664116,659,8495229.07
2026-03-02,KGM,3.678043,33592,4956636929.25
2026-03-02,KKH,6.307500,6033,609896087.58
2026-03-02,MJB,6.864700,846,64919835.22
2026-03-02,MJG,14.028321,9522,1486865982.53
2026-03-02,MTS,2.577604,739,63291326.34
2026-03-02,NBO,1.247960,436,1208519285.08
2026-03-02,NHP,5.065647,173,7503702.65
2026-03-02,ODV,19.773507,4556,1781823231.99
2026-03-02,OFI,3.698901,877,151901258.56
2026-03-02,OFS,7.656921,571,182510219.38
2026-03-02,OIL,4.020630,702,10470319.11
2026-03-02,OIR,4.530770,361,32948249.75
2026-03-02,OJT,9.387307,11712,3089948656.59
2026-03-02,OLD,2.948111,6494,152624800.33
2026-03-02,OLE,4.197929,498,264902608.93
2026-03-02,OTJ,8.437439,31015,5148582607.67
2026-03-02,OVD,2.911677,2804,655974845.12
2026-03-02,PBI,1.867992,272,102446183.16
2026-03-02,PFO,2.295634,336,78513708.76
2026-03-02,PFS,2.593718,119,24350879.11
2026-03-02,PIL,3.729462,9736,776107385.06
2026-03-02,PLA,1.071669,121,2678116.78
2026-03-02,SFS,1.249943,85,29335163.49
2026-03-02,SPT,1.918243,1229,203289638.22
2026-03-02,TBP,0.260543,231,461063972.31
2026-03-02,TCF,3.845289,3675,5990447677.83
2026-03-02,TEJ,1.955551,1187,486337563.60
2026-03-02,TFF,31.017931,9034,1091857949.69
2026-03-02,TGE,0.244762,40524,3053066961.46
2026-03-02,TJF,4.942769,601,64294211.63
2026-03-02,TJI,6.064028,1112,1015318141.37
2026-03-02,TKK,1.675579,115244,1818529955.08
2026-03-02,TMU,1.235292,118,140552049.34
2026-03-02,TMZ,1.717407,2550,44605995.51
2026-03-02,TPC,15.251171,21763,10318500029.20
2026-03-02,TVN,2.420309,690,9174756.75
2026-03-02,YAC,13.649544,10806,5648301745.52
2026-03-02,YAN,12.797287,3842,1765827328.46
2026-03-02,YCH,2.339218,148,144537735.82
2026-03-02,YCY,3.477842,267,239055457.07
2026-03-02,YJK,4.273785,9012,583126599.36
2026-03-02,YPV,7.494738,3760,6611673765.59
2026-03-02,YTD,0.777683,16123,1703376725.43
2026-03-02,YZG,17.309283,76070,17893445862.84
2026-03-02,ZCN,3.692688,8148,649574870.32
2026-03-02,ZPC,18.282037,3114,3079132195.12
2026-03-02,ZSG,3.909027,1045,49424178.06
2026-03-02,ZTG,1.135046,653,22867353.75
2026-03-02,GGA,61.109314,3,8611176615.10
2026-03-02,GGC,5.092291,5,178907449.00
2026-03-02,GGD,59.820834,2,5230162366.91
2026-03-02,GGM,7.038775,1,2409308812.20
2026-03-02,GGN,61.966159,4,431496763.11
2026-03-02,GGP,30.954970,1,214425.08
2026-03-02,GGR,61.739284,3,1478003143.52
2026-03-02,GJA,59.422486,3,847564067.71
2026-03-02,GJD,57.420957,3,377599292.28
2026-03-02,GJE,57.674003,2,133614112.95
2026-03-02,GJF,58.793695,2,226990578.28
2026-03-02,GJH,3.281485,21765,66212088924.30
2026-03-02,GJM,29.284237,77,358268767.81
2026-03-02,GJO,54.283185,1,530859634.40
2026-03-02,GKE,0.000000,0,0.01
2026-03-02,GKH,3.751626,1811,5623409828.75
2026-03-02,GKK,59.753821,2,1829518999.09
2026-03-02,GKL,14.679379,4,825703430.46
2026-03-02,YVG,58.335734,1241,5765502303.56
2026-03-02,GKM,44.326916,14,119843137.67
2026-03-02,GKO,0.000000,0,0.01
2026-03-02,GLG,8.425310,1122,208497910.16
2026-03-02,GLM,0.382223,11,36052808.63
2026-03-02,GLP,61.346411,4,503164554.25
2026-03-02,GLV,8.254535,27,27602917.59
2026-03-02,GME,25.654142,2,361958874.87
2026-03-02,GMI,1.821409,7244,979724464.14
2026-03-02,GMM,44.084869,27,410848716.48
2026-03-02,GMN,1.138689,35,163029982.99
2026-03-02,GMO,3.466178,4,2774749729.83
2026-03-02,GMP,56.841009,1,1574005403.80
2026-03-02,GMV,0.000000,0,0.01
2026-03-02,GMZ,12.894833,2,351030729.32
2026-03-02,GNK,61.817338,1,423793212.39
2026-03-02,GNL,54.996700,4,1646521619.09
2026-03-02,GOF,42.134955,128,97908700.30
2026-03-02,GPC,65.720207,4396,8208432820.31
2026-03-02,GPH,42.275162,1,2478888.69
2026-03-02,GPJ,52.562820,2,894584237.81
2026-03-02,GPL,47.954846,39914,99045259037.46
2026-03-02,GPM,57.010447,2,1187931140.89
2026-03-02,GPV,62.376524,1,328942039.15
2026-03-02,GP1,3.330542,1,152278314.13
2026-03-02,GP3,56.044916,285,307230325.18
2026-03-02,GRL,1.696825,357,428035721.60
2026-03-02,GRO,48.821856,26703,191441602435.80
2026-03-02,GSE,58.095830,135,1486336207.05
2026-03-02,GSG,64.783021,1,80155773.09
2026-03-02,GSL,2.964151,1,15988737.75
2026-03-02,GSO,12.807077,5,293338328.33
2026-03-02,GSR,52.021762,2,241545363.81
2026-03-02,GSU,0.000000,0,0.01
2026-03-02,GTN,47.631169,2,1334269797.01
2026-03-02,GTY,5.931622,814,610539921.26
2026-03-02,HMC,7.196642,116,3193848.06
2026-03-02,GUC,1.215988,1,613556695.64
2026-03-02,GUK,1.878234,4053,1795708305.14
2026-03-02,GVB,62.010806,3,3255544967.58
2026-03-02,GVC,58.542924,1,277450607.68
2026-03-02,GVD,19.833049,1,438607.87
2026-03-02,GVL,60.643042,3,477388942.79
2026-03-02,GVZ,67.873461,2,375567887.81
2026-03-02,GYC,3.504954,1,14386750139.71
2026-03-02,GYG,65.889471,4,549518976.48
2026-03-02,GYN,61.304643,1,1263707246.72
2026-03-02,GYR,57.125245,5,557774034.49
2026-03-02,GZB,6.391903,1,1278380603.43
2026-03-02,GZD,56.427283,3,49469685.94
2026-03-02,GZE,6.829981,5534,1719036220.39
2026-03-02,GZM,6.989954,180,30684242.71
2026-03-02,GZN,37.004598,956,324680601.37
2026-03-02,GZO,65.246843,1,107312656.50
2026-03-02,GZU,61.856660,2,422459278.02
2026-03-02,HAE,50.710666,1000,2154890910.97
2026-03-02,HAG,55.976213,48,444637866.93
2026-03-02,HAR,0.985081,74,70191265.33
2026-03-02,HAT,1.740032,146,12222099.94
2026-03-02,HBJ,2.530166,1,253016.64
2026-03-02,HBV,11.761444,18,676858527.42
2026-03-02,HB1,45.561166,328,21274248566.30
2026-03-02,HB2,53.218824,185,13501016473.10
2026-03-02,HDA,2.703167,976,525354831.86
2026-03-02,HDE,53.217347,4429,7260382017.68
2026-03-02,HDH,6496.801591,19,24094928442.51
2026-03-02,HDJ,5.372068,15,72061517.33
2026-03-02,HDK,2.710044,162,53546654.03
2026-03-02,HDS,14.636316,13,1469755458.97
2026-03-02,HDV,59.928228,2143,3830870507.40
2026-03-02,HEH,2.779334,2258,1004676142.86
2026-03-02,HFA,2.919656,2,4127899229.25
2026-03-02,HFI,1.436032,120,36580591.79
2026-03-02,HFV,58.102609,3487,9596649319.01
2026-03-02,HFY,1.101845,36,663306900.58
2026-03-02,HGC,48.066705,165,282820793.40
2026-03-02,HGH,1.691745,21,75088871.92
2026-03-02,HGJ,8.314172,11,415332922.40
2026-03-02,HGR,1.134422,142,22742430.19
2026-03-02,HGT,86.562293,14,3545881851.49
2026-03-02,HGU,4.240503,2,2379000793.97
2026-03-02,HGV,5.126032,692,64863829.35
2026-03-02,HIA,1.302174,386,240902201.35
2026-03-02,HIF,0.772352,12,401449.45
2026-03-02,HII,3.028429,1,997465222.63
2026-03-02,HIM,3.396822,329,406599174.95
2026-03-02,HIS,3.628810,12,1477800.15
2026-03-02,HJA,19.296743,13,2238804533.41
2026-03-02,HKJ,1.144635,2825,11694332623.44
2026-03-02,HKM,3.647108,1482,108350582.71
2026-03-02,HKP,4.882744,132,422532890.32
2026-03-02,HKR,3.886679,2111,1831752639.68
2026-03-02,HLA,1.694185,11,85734185.84
2026-03-02,HLR,183.493673,14,4332162137.60
2026-03-02,HME,49.128823,8317,25326011236.23
2026-03-02,HMG,0.059476,5150,2845007783.99
2026-03-02,HMK,315.005160,117,324346007.66
2026-03-02,HML,44.681975,41,124026663.49
2026-03-02,HMT,6.633694,22,565859750.26
2026-03-02,HMV,12.572565,15,10278660990.66
2026-03-02,HNS,45.682462,95,456935440.93
2026-03-02,HPC,12.615306,7,37520987369.36
2026-03-02,HPF,30.548452,12,1318138807.14
2026-03-02,HPI,6.432347,14,221363293.36
2026-03-02,HPJ,3.863111,1,77069278.92
2026-03-02,HPL,2.676193,24,1213847813.25
2026-03-02,HPZ,595.016980,16,1203719.35
2026-03-02,HP3,52.314430,89,247424495.51
2026-03-02,HSP,43.907589,1068,1873295749.48
2026-03-02,HTF,1.205637,144,702550865.39
2026-03-02,HTS,48.062983,1884,3049242040.15
2026-03-02,HTZ,20.544674,13,1201520893.85
2026-03-02,HUI,92.648032,1,2186461679.87
2026-03-02,HUS,0.003674,12,2090236.60
2026-03-02,HVA,167.820942,18,21684815.24
2026-03-02,HVB,1.213791,11,719284224.31
2026-03-02,HVC,26.148696,17,71326608.44
2026-03-02,HVL,20.255962,11,2843937.06
2026-03-02,HVN,5.230758,12,5936758.92
2026-03-02,HVV,63.315950,1,3210491001.95
2026-03-02,HYK,9.964018,24,192849578.74
2026-03-02,HYP,8.281652,61,55059796.09
2026-03-02,HYU,1.507687,342,1493488514.42
2026-03-02,HYY,12.917325,1,6399883913.05
2026-03-02,HZV,5.599191,3,917116798.55
2026-03-02,IAC,3.469418,1,2405760500.83
2026-03-02,IAF,0.816056,11,51971164.92
2026-03-02,IAI,6.416988,1,73123701.09
2026-03-02,IAR,72.747146,30,169699448.87
2026-03-02,IAS,1.943254,17,3022136406.39
2026-03-02,IAU,2.261293,344,49436205.36
2026-03-02,IBC,16.422704,5,351920376.55
2026-03-02,IBE,19.315463,14,639880056.48
2026-03-02,IBG,1.367786,11,605120543.97
2026-03-02,IBJ,59.472146,23,722491006.35
2026-03-02,IBM,3.503453,16,280553173.55
2026-03-02,IBP,62.534993,4,4254947661.90
2026-03-02,IBR,0.246894,40,1246336551.39
2026-03-02,ICG,64.299619,1,1037354429.77
2026-03-02,ICN,3.500204,23,136546665.80
2026-03-02,ICS,47.539382,80,65779624.65
2026-03-02,ICV,5.419557,54,6500660.73
2026-03-02,IDD,0.150890,27,31604859.45
2026-03-02,IDF,69.837775,5090,16638029414.07
2026-03-02,IDO,53.694437,14817,67606387097.32
2026-03-02,IDP,2.049760,30,206628899.46
2026-03-02,IDV,64.873423,2,509684274.43
2026-03-02,IEN,1.207648,178,59398443.73
2026-03-02,IEZ,4.288800,3,86173567.88
2026-03-02,IFD,54.874413,9,1097488251.88
2026-03-02,IFY,6.378773,1,127575462.97
2026-03-02,IGF,61.532789,2,1300323577.21
2026-03-02,IGM,60.393711,3,1205080280.56
2026-03-02,IGZ,10.108004,3,2033109328.20
2026-03-02,IHC,6.244385,278,252243715.96
2026-03-02,IHP,1.718655,392,187792757.37
2026-03-02,IHV,1.850728,43,323607026.59
2026-03-02,IHY,4.554570,1,92022407.77
2026-03-02,IHZ,1.168711,62,1436794.02
2026-03-02,IIA,5.122799,11,1961167190.31
2026-03-02,IIC,3.105118,12,193503467.77
2026-03-02,IIE,7.449675,6413,1224507370.16
2026-03-02,IIF,1.212390,14,403741389.95
2026-03-02,IIN,1.162054,82,1816977503.09
2026-03-02,IIP,0.325251,16,39181370.83
2026-03-02,IIS,76.636514,214,2960923028.00
2026-03-02,IJE,62.783058,4,33631063.24
2026-03-02,IJF,9.624709,2,883372465.40
2026-03-02,IJI,7.182415,25,53556342.28
2026-03-02,IJK,58.332592,3,267807847.76
2026-03-02,IJL,49.270730,12,279893072.73
2026-03-02,IJT,6.074524,1457,379103338.87
2026-03-02,IK2,43.981880,97,197896295.03
2026-03-02,ILC,46.211304,223,1292894598.79
2026-03-02,ILE,4.333376,1,9646845399.89
2026-03-02,ILH,3.326348,10878,115244897930.13
2026-03-02,ILI,4.892151,12,282581699.37
2026-03-02,ILM,6.930120,15,301811473.31
2026-03-02,ILP,56.837685,6,2867524080.06
2026-03-02,ILU,1.221480,1,1935512722.30
2026-03-02,IMF,5.064694,22,356552174.80
2026-03-02,IMG,45.266445,144,904203297.06
2026-03-02,IMH,6.032170,1,2128193438.17
2026-03-02,IMO,4.977136,2,2179985519.98
2026-03-02,IMS,14.491735,4,538709249.64
2026-03-02,IMT,62.994100,4,636711544.09
2026-03-02,IMY,67.400195,6,1447017964.20
2026-03-02,IMZ,67.113079,4,278354650.98
2026-03-02,INR,46.183575,396,3601536796.07
2026-03-02,INV,40.428208,1,1722845132.17
2026-03-02,INZ,2.924511,14,5850084.18
2026-03-02,IOG,17.855332,26517,22666975476.17
2026-03-02,IOH,47.792249,21,112516533.02
2026-03-02,IOJ,46.835281,38,167833480.80
2026-03-02,IOL,61.474923,1,879411812.15
2026-03-02,IOM,3.642161,15,549240328.44
2026-03-02,ION,3.029331,12,193339005.29
2026-03-02,IOT,52.974473,6,238519683.54
2026-03-02,IOV,51.698257,1,512196806.33
2026-03-02,IPA,0.798710,17,993177553.73
2026-03-02,IPC,23.350189,1,13426358.89
2026-03-02,IPE,8.953044,3,3729979636.60
2026-03-02,IPF,0.111839,23,141499592.75
2026-03-02,IPK,44.836535,1,2686046052.28
2026-03-02,IPO,39.389742,1,591888340.84
2026-03-02,IPP,0.161844,177,6451866261.39
2026-03-02,IPR,31.801388,1,19557853.36
2026-03-02,IPU,38.987485,1,4548421170.21
2026-03-02,IRB,1.065487,55,118392204.10
2026-03-02,IRE,44.428142,66,112393781.81
2026-03-02,IRL,15.731283,13,238932060.93
2026-03-02,IRO,1.680479,67,28119358.72
2026-03-02,IRV,5.989993,42,313933003.42
2026-03-02,ISR,18.054054,8,947772408.17
2026-03-02,ISS,0.270513,7,210177291.68
2026-03-02,ITA,66.641136,1,747802382.51
2026-03-02,ITD,62.242230,1,2302979454.15
2026-03-02,ITJ,8.941277,11,353647659.73
2026-03-02,ITL,3.739492,1,3837721167.89
2026-03-02,ITR,3.726253,1,1031680570.25
2026-03-02,ITV,44.063966,26,160830436.26
2026-03-02,ITZ,54.471210,3,1675391588.96
2026-03-02,IUA,62.466767,60,477468608.05
2026-03-02,IUB,65.207349,3,303248538.69
2026-03-02,IUC,1.820198,1,883439524.39
2026-03-02,IUF,63.341469,9313,27958169465.27
2026-03-02,IUM,61.098178,1,371205524.31
2026-03-02,IUN,69.486647,4,272520792.29
2026-03-02,IUV,61.320381,8012,26913900072.34
2026-03-02,IVA,2.339585,3,116979258.14
2026-03-02,IVS,5.360845,34,453554577.83
