fund_code,fund_name,isin,type_code,annual_management_fee_rate
DDF,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYDNZP00199,108,0.600
DFI,ATLAS PORTFOY SERBEST FON - TRYATLP00143,TRYATLP00143,108,2.000
DOH,TERA PORTFOY DORDUNCU HISSE SENEDI SERBEST (TL) FON (HISSE SENEDI YOGUN FON) - TRYTRPY00165,TRYTRPY00165,108,0.000
GO9,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYGRIP00181,104,3.000
HGV,HEDEF PORTFOY BIRINCI SERBEST FON  - TRYHDFP00284,TRYHDFP00284,108,2.000
HKM,HEDEF PORTFOY BASAK HISSE SENEDI SERBEST (TL) FON (HISSE SENEDI YOGUN FON) - TRYHDFP00482,TRYHDFP00482,108,3.000
HRZ,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYMKFT00463,104,2.000
IVY,ISTANBUL PORTFOY BLOCKCHAIN TEKNOLOJILERI KARMA FON - TRYISTP00281,TRYISTP00281,101,2.500
KHA,PARDUS PORTFOY YONETIMI AS IKINCI HISSE SENEDI (TL) FONU (HISSE SENEDI YOGUN FON) - TRYA1PY00305,TRYA1PY00305,104,1.500
KHJ,ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYATLP00283,104,2.000
MTH,MT PORTFOY BIRINCI HISSE SENEDI FONU (HISSE SENEDI YOGUN FON) - TRYMTPY00026,TRYMTPY00026,104,2.730
OMG,AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYAZIM01398,104,3.203
PBN,PIRAMIT PORTFOY BIRINCI HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYPRMT00095,TRYPRMT00095,108,2.100
PBR,PUSULA PORTFOY BIRINCI DEGISKEN FON - TRYPSLP00036,TRYPSLP00036,101,1.750
PHE,PUSULA PORTFOY HISSE SENEDI FONU (HISSE SENEDI YOGUN FON) - TRYPSLP00010,TRYPSLP00010,104,2.500
